prabhag_no,area,population,slums_area,slum_hh,,value_for_area_index,max_value,min_value,area_index,value_for_population_index,max_value,min_value,population_index,value_for_slum_area_index,max_value,min_value,slum_area_index,value_for_slum_hh_index,max_value,min_value,slum_hh_index,structure_index
64,2.41,34148,388.33,1992,,2.41,0.37,20.86,0.90,34148,24983,89668,0.86,388.33,0,3439.64,0.89,1992,0,13781,0.86,0.88
65,0.42,35694,1110.3,9,,0.42,0.37,20.86,1.00,35694,24983,89668,0.83,1110.3,0,3439.64,0.68,9,0,13781,1.00,0.89
66,1.73,37519,440.31,2750,,1.73,0.37,20.86,0.93,37519,24983,89668,0.81,440.31,0,3439.64,0.87,2750,0,13781,0.80,0.85
67,1.47,31986,514.74,1157,,1.47,0.37,20.86,0.95,31986,24983,89668,0.89,514.74,0,3439.64,0.85,1157,0,13781,0.92,0.90
68,1.8,30931,812.9,3407,,1.8,0.37,20.86,0.93,30931,24983,89668,0.91,812.9,0,3439.64,0.76,3407,0,13781,0.75,0.84
69,1.23,39133,85.09,367,,1.23,0.37,20.86,0.96,39133,24983,89668,0.78,85.09,0,3439.64,0.98,367,0,13781,0.97,0.93
70,1.52,44325,322.08,350,,1.52,0.37,20.86,0.94,44325,24983,89668,0.70,322.08,0,3439.64,0.91,350,0,13781,0.97,0.89
71,2.44,43151,678.22,3100,,2.44,0.37,20.86,0.90,43151,24983,89668,0.72,678.22,0,3439.64,0.80,3100,0,13781,0.78,0.80
72,1.25,46361,0,0,,1.25,0.37,20.86,0.96,46361,24983,89668,0.67,0,0,3439.64,1.00,0,0,13781,1.00,0.92
73,0.44,34013,0,0,,0.44,0.37,20.86,1.00,34013,24983,89668,0.86,0,0,3439.64,1.00,0,0,13781,1.00,0.97
74,1.03,35070,0,0,,1.03,0.37,20.86,0.97,35070,24983,89668,0.84,0,0,3439.64,1.00,0,0,13781,1.00,0.96
75,4.92,72526,38.69,0,,4.92,0.37,20.86,0.78,72526,24983,89668,0.27,38.69,0,3439.64,0.99,0,0,13781,1.00,0.81
76,4.02,72463,606.76,3900,,4.02,0.37,20.86,0.82,72463,24983,89668,0.27,606.76,0,3439.64,0.82,3900,0,13781,0.72,0.70
